job_title,company_name,location,work_type,salary,job_description,_scrape_timestamp
Senior Data Scientist,PT PEFINDO Biro Kredit,"Jakarta Selatan, Jakarta Raya
(Hibrid)",Full time,None,"Lead the
data science and analytics strategy
, ensuring alignment with business goals and innovation roadmap.
Direct research, experimentation, and
data-driven product development initiatives
.
Develop and execute
data strategy plans
, including identifying and managing valuable internal and external data sources.
Translate complex data into
business insights and strategic recommendations
for management.
Supervise and mentor the data science team to ensure quality and innovation across projects.
Collaborate with Product, Business, and IT teams to accelerate
digital and data transformation
.
Build partnerships with external institutions to strengthen data capabilities.
Present findings and data-driven recommendations to executive management and stakeholders.",2025-11-24T11:35:14.229278
Data Analis,PT Suriatama,Jakarta Raya,Kasual,None,"Deskripsi Pekerjaan
1. Mampu menganalisis data
2. Membuat Anggaran Pembelian Tahunan
3. Memiliki kemampuan dalam membaca arah bisnis
4. Dapat berkomunikasi dengan baik
5. Mampu untuk menafsirkan/menganalisa data
6. Mampu bekerja sama dalam tim
7. Diutamakan mempunyai pengalaman mengelola data di bagian Purchasing
Kualifikasi
1. Pengalaman minimal 2 tahun di bidang analisis data
2. Pendidikan minimal S-1 Sederajat
3. Memahami penggunaan EXCEL/PIVOT
4. Memahami konsep statistik dan matematika
5. Mampu untuk memvisualisasikan data",2025-11-24T11:35:30.631052
OSINT Analyst/Investigator (People Search),PT. Bukit Silikon Indonesia,"Jakarta Barat, Jakarta Raya
(Hibrid)",Full time,Rp 7.500.000 – Rp 9.500.000 per month,"About Us:
Join our dynamic, innovative team at PT Bukit Silikon Indonesia! We are a leading technology firm specializing in cutting-edge solutions in artificial intelligence (AI) and machine learning (ML).
We're committed to transforming businesses and enhancing user experiences through smart technology. If you're passionate about AI and advanced analytics, come be a part of our mission to shape the future.
Job Description:
We are seeking a highly detail-oriented and resourceful
People Search Analyst
to help identify and locate individuals in the United States using limited or incomplete personal information. This role involves deep online research, cross-referencing multiple public data sources, and using investigative or data tools to find accurate and verifiable results.
You’ll play a key part in our data intelligence operations, helping clients or systems connect fragmented information to real people profiles.
Responsibilities:
Conduct online research to locate individuals based on partial data (e.g., name, city, phone number, or social media clues).
Use open-source intelligence (OSINT) tools, public databases, and social media platforms to gather and verify information.
Analyze, cross-check, and validate data from multiple sources to ensure accuracy.
Build and maintain structured search reports and documentation of each investigation.
Identify patterns, aliases, or connections between individuals and related entities.
Work with technical teams to improve automation tools or search processes (if applicable). Ensure compliance with all privacy and data protection laws (GDPR, CCPA, etc.).
Qualifications:
Bachelor’s degree in
Criminology, Data Science, Information Systems, Intelligence Studies,
Journalism
, or a related field.
Prior experience as a
Fraud Analyst , People Locator Specialist, Contact Information
Researcher, Skip Tracing Specialist, Investigation Analyst
, or
Data Verification Specialist
is
highly desirable.
Proven experience in
people search
,
background checks
,
skip tracing
,
private investigation
,
or
OSINT research
.
Proficiency with online research, advanced Google operators, and open-source data platforms.
Familiarity with public record databases (LexisNexis, BeenVerified, Spokeo, Whitepages, Pipl, etc.).
Strong analytical, documentation, and pattern recognition skills.
Excellent written and verbal communication in English.
High attention to detail and ability to work independently.
Preferred / Nice to have skills:
Hands-on experience with OSINT or investigation tools (Maltego, SpiderFoot, IntelTechniques, etc.).
Technical familiarity with APIs or scripting languages (Python, SQL) for data enrichment or automation.
Knowledge of social media investigation techniques and digital footprint analysis.
Background in data compliance, digital forensics, or threat intelligence. Prior work experience in the US legal, data, or security research sector.
Why Join Us?
Competitive salary.
Hybrid working.
Strategic office location. Accessible by TransJakarta Bus.
Opportunity to work with some of the brightest minds in the industry.
Career development opportunities and access to ongoing professional training.
A culture that values innovation, inclusivity, and sustainability.",2025-11-24T11:35:31.694921
Data Analyst,Pengiklan Anonim,"Jakarta Selatan, Jakarta Raya
(Hibrid)",Full time,Rp 6.750.000 – Rp 9.500.000 per month,"Job Description – Data Analyst (Hybrid)
Location: Jakarta (Hybrid)
Ringkasan Peran
Data Analyst bertanggung jawab untuk mengumpulkan, mengolah, dan menganalisis data kompetitor untuk menghasilkan insight yang mendukung pengambilan keputusan strategis. Hasil analisis akan disampaikan secara teratur dalam bentuk laporan mingguan kepada tim internal.
Tanggung Jawab Utama
Melakukan riset berkala terhadap kompetitor (layanan, harga, positioning, aktivitas pemasaran, dsb.).
Mengumpulkan data dari berbagai sumber (website, publikasi, laporan industri, media sosial, dll).
Menganalisis data untuk mengidentifikasi tren pasar, perubahan strategi, serta peluang atau risiko.
Menyusun laporan mingguan yang ringkas, sistematis, dan mudah dipahami.
Membuat visualisasi data (grafik, tabel, dashboard) agar insight dapat dipahami dengan cepat.
Berkolaborasi dengan tim lintas divisi (misalnya marketing, business development, dan manajemen).
Memberikan rekomendasi berbasis data untuk mendukung strategi perusahaan.
Menjaga akurasi data dan konsistensi metode analisis.
Mendukung pengembangan tools internal untuk membantu proses pemantauan kompetitor.
Kualifikasi
Pendidikan minimal S1 di bidang Statistik, Ekonomi, Data Science, Business Intelligence, atau terkait.
Pengalaman minimal 1–2 tahun sebagai Data Analyst (fresh graduate dipersilakan melamar).
Terbiasa bekerja dengan data dalam jumlah besar dan menghasilkan insight yang bernilai.
Menguasai tools analitik seperti Excel/Google Sheets, Power BI, Tableau, atau sejenisnya.
Memiliki kemampuan riset yang kuat dan perhatian tinggi terhadap detail.
Mampu membuat laporan yang jelas, terstruktur, dan mudah dipahami.
Mampu bekerja secara mandiri maupun kolaboratif.
Proaktif, analitis, dan berorientasi pada hasil.
Pengetahuan mengenai riset kompetitif menjadi nilai tambah.
Sistem Kerja
Hybrid
– kombinasi kerja remote dan onsite (Jakarta).
Deliverables Utama
Laporan analisis kompetitor mingguan.
Rekomendasi strategis.
Dashboard sederhana untuk pemantauan kompetitor (opsional).
Soft Skills
Critical thinking
Manajemen waktu yang baik
Detail oriented
Adaptable
Komunikatif & kolaboratif",2025-11-24T11:35:32.840986
Data Analyst (Product-Focused),Demandlane,"Jakarta Raya
(Jarak jauh)",Full time,None,"Senior Product Analyst / Senior Product Operations Analyst (Data-Focused)
Department:
Product Operations
Location:
Remote (Indonesia)
Role Overview
We’re looking for a
data-driven Senior Product Analyst / Senior Product Operations Analyst
with a knack for
root cause analysis (RCA)
, a solid grasp of
product operations
, and can connect the dots between
data and product operations
.
You’ll use dashboards, data pulls, and ML-driven outputs to identify patterns, troubleshoot performance issues, and help the business make smarter decisions faster.
You won’t be coding full dashboards — Instead, you’ll
slice and dice the data
, investigate anomalies, partner with analytics to get deeper pulls and
collaborate with analytics/data science teams
to apply machine learning insights in a product operations setting.
Key Responsibilities
Root Cause Analysis & Troubleshooting
Investigate performance anomalies (e.g., contact rate drops, deliverability issues, spam triggers, carrier code failures).
Use
Tableau
and backend data to trace issues from symptom to root cause.
Document RCAs with clear findings, proposed solutions, and follow-up on implementation.
Data Analysis & Operational Insights
Monitor and interpret KPIs like contact rates, deliverability %, spam block rates, and conversion rates.
Perform
ongoing trend analysis
and shareouts to inform daily operational decisions.
Good to have if you can apply AI/ML-powered tools to detect hidden patterns, predict anomalies, and automate parts of the analysis process.
Experimentation & Optimization
Design and evaluate
A/B tests
and controlled experiments on texting cadences, campaign routing, and engagement strategies.
Analyze experiment outcomes (including ML-based predictions) to recommend
data-backed optimizations
.
Reporting & Communication
Deliver recurring performance reports for key product and growth metrics — ensuring they lead to
clear, actionable changes
.
Present findings clearly to both technical and non-technical teams.
Collaborate closely with the
Data Analytics and Data Science teams
for custom pulls, ML insights, and deeper analysis.
Qualifications
Must-Have:
4+ years
experience as a Data Analyst, Product Analyst, Product Operations Analyst, or similar role.
Strong RCA skills — methodical, detail-oriented, able to find the true cause of an issue.
Proficiency with BI tools (especially
Tableau
) for insight generation.
Ability to interpret large datasets, identify anomalies, and spot trends quickly.
Quick learner with the ability to grasp new product workflows and data pipelines fast.
Excellent verbal and written communication skills.
Nice-to-Have:
Basic understanding of ML models (classification, regression, clustering) and their business applications.
Basic SQL querying skills for self-service exploration.
Familiarity with messaging operations (10DLC, toll-free, compliance).
Experience in A/B testing and campaign optimization.
What Success Looks Like
Every RCA you own leads to a
clear, evidence-backed solution
.
Trends and risks are spotted early, preventing performance losses.
You become the
bridge between product operations and analytics
, turning data into decisions that move the needle.
Should be comfortable working from 6.30 pm to 3.30 am WIB.",2025-11-24T11:35:48.750797
Data Engineer,PT Kamoro Maxima Integra,"Jakarta Selatan, Jakarta Raya
(Hibrid)",Full time,None,"Responsibilities:
Design, develop, and manage data pipelines and business intelligence solutions to support organizational goals.
Build and maintain scalable ETL processes using Azure Data Factory and other data integration tools.
Develop and execute complex database queries, ensuring data accuracy and integrity.
Create insightful dashboards, reports, and data visualizations using Power BI to support data-driven decision-making.
Manage and optimize data warehouses and data models (e.g., in Snowflake or MS SQL).
Collaborate with cross-functional teams to understand business requirements and translate them into technical solutions.
Conduct data analysis to identify trends, patterns, and opportunities for business improvement.
Requirements:
Bachelor’s degree in Information Systems, Computer Science, or a related field.
Minimum of 2 years of experience in Business Intelligence, Data Engineering, or a related role.
Hands-on experience with Azure Data Factory, Snowflake, and Python.
Proficient in Power BI, including DAX and data modeling.
Strong background in SSIS, MS SQL, and stored procedures.
Solid understanding of data engineering principles, ETL processes, and data warehousing.
Experience in data migration and integrating data from multiple sources.
Proven ability to programmatically manage data flows and transfers across systems.
Why join Us?
We offer very
attractive salary
and
outstanding benefits.
Most of our clients are multinational company which you will be exposed to a large IT environment and
valuable experience
in
international scale projects
.
You will
always learn new things
as our projects always adopt latest technology and best practice available in the market.
Last but not least, we offer a supportive and encouraging environment that puts the emphasis on teamwork. Here,
your soft skill
(professional relationships, character, attitude)
will grow
as fast as your technical skill.",2025-11-24T11:36:05.144499
Data & System Analyst Staff (HSE & GA),PT Impack Pratama Industri Tbk,"Cikarang Pusat, Jawa Barat",Full time,None,"QUALIFICATIONS
Bachelor’s degree in related fields.
Minimum 2 years of work experience in General Affairs (GA) and/or Health, Safety & Environment (HSE).
Have experience as Data & System Analyst Staff in GA/HSE would be an advantage.
Understand HSE concept and proficient in Microsoft Excel.
Strong analytical thinking, with excellent communication skills.
Work location: Cikarang.
MAIN JOB DESCRIPTION
Record and analyze HSE data to deliver accurate and timely reports.
Collaborate with related Department Head to develop new or revised Standard Operating Procedure (SOP).
Manage and organize all SOP documents, both electronic and hard copy, ensuring they are accurate, up-to-date and easily accessible for authorized personnel.
Building maintenance material, work equipment, and spare parts management.
Digitally record and track all building maintenance requests and their work progress.",2025-11-24T11:36:21.201005
Data Analyst (Spare Part),"PT SMART,Tbk","Jakarta Pusat, Jakarta Raya",Full time,None,"Job Description Summary :
Responsible for analyzing spare parts inventory & availability and suggest improvements to cut cost & improve the entire process.
Job Description :
Track supply chain performance related to spare-parts inventory & availability.
Provide alert, analysis, recommendations, and reports in relation to improving spare-parts availability performance.
Initiate timely & coordinate efforts to resolve issues in maintenance & spare-parts along the Upstream's supply chain.
Promote continuous improvement in improving effectiveness and efficiency of the assignments and tasks given.
Manage assignments and tasks given to be completed in timely, accurate and complete manner as part of the overall project deliverables.
Extracting data from various sources to various formats (database, BI Tools, Excel,etc)
Designing & implementing database
Creating reports with appropriate visualization to accommodate the information needs of internal and external users
Identifying, analyzing and interpreting data
Producing insight that are useful for business
Presenting analysis result and findings
Experienced in using ERP (SAP), CRM, Coupa, Office, SQL, Queries, SQL Server, I Tools (MicroStrategy, Power BI, Tableu, etc) and Statistical Software is a plus
Accustomed to querying, creating reports and presentation
Experienced with big data tools & business process improvement method (Six Sigma, Lean Management, PDCA, etc) is a plus
Job Requirement :
Minimum Bachelor Degree in Information Technology or Information System or equivalent
Having min 1 years of working experience as Data Analyst (Spare Part).
Fresh graduate are welcome to apply
Good in communication skills and analytical thinking
Fluent in English
Willing to be located in Head Office Jakarta
""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",2025-11-24T11:36:53.456611
Dosen Prodi Data Science (UBM Kampus Serpong),Universitas Bunda Mulia (Yayasan Pendidikan Bunda Mulia ),"Tangerang, Banten",Full time,None,"Kualifikasi Umum :
Mampu bekerja secara multi tasking dan bekerja dalam tim (team player)
Menguasai Microsoft Office, internet, dan mampu berbahasa Inggris (min.pasif)
Kualifikasi Khusus :
Pendidikan S3 ataupun sedang menekuni pendidikan S3.
Memiliki pengalaman minimal 1 tahun sebagai dosen di Perguruan Tinggi.
Memiliki pengalaman penelitian di bidang AI / Machine Learning / Data Warehousing / Basis Data Management
Memiliki kompetensi di bidang Data Science terkait Kecerdasan Buatan (AI), Pemrograman, Data Analisis, dan Data Visual.
Penempatan : UBM Alam Sutera - Tangerang",2025-11-24T11:37:09.825044
Data Analyst Officer,PT CITARASA PRIMA INDONESIA BERJAYA,"Jakarta Selatan, Jakarta Raya",Kontrak/Temporer,None,"Company Description
CRP Group (PT Citarasa Prima Indonesia Berjaya) is a company that develops various Indonesian cuisine brands and products with the basic belief of ""The Love of Indonesian Culinary Treasure"". Since 2013, CRP Group has created unique and rich tastes of Indonesian cuisine with brands such as Nasi Goreng Rempah Mafia, Warunk Upnormal, Bakso Boedjangan, and Ayam Bersih Berkah.
Qualifications
Bachelor's degree or higher in Computer Science, Statistics, Mathematics, Economics or related fields
At least 1 years of experience in the same position (F&B experience is preferred)
Proficient in Microsoft Excel
Ability to use data visualization software (Power BI, Tableau)
Understanding of the business processes in the Food & Beverage industry
Experienced in handling sales data, performing COGS calculations, and setting selling prices
Excellent analytical and critical thinking skills
Good communication and presentation skills",2025-11-24T11:37:26.129731
Data Analytics & Machine Learning Consultant - Entry Level,Datapower,"Jakarta Barat, Jakarta Raya",Full time,None,"We only hire the best.
Join our elite consulting team—
English fluency is a must
to work with global clients and experts.
Datapower is a leading fintech consulting company specializing in personal digital lending, credit risk modeling, fraud detection, and AI-driven operational marketing. We empower Banks, Multi-finance companies, and other financial institutions in Southeast Asia and Africa with innovative AI-driven solutions.
As we expand our presence in Indonesia, we are looking for high-potential consultants with strong capabilities in data analytics, statistics and machine learning to join our expert team.
What You’ll Do
•
Work on data-driven fintech consulting projects across credit risk, fraud detection, and marketing analytics
• Build, analyze, and optimize machine learning models for client-specific use cases
•
Extract insights from financial, behavioral, and alternative data sources (e.g., SLIK, app data, transactions)
• Support client implementation and documentation of analytical models
• Collaborate with data scientists, business analysts, and industry experts across project phases
Who We’re Looking For
We are seeking
top-tier university graduates
with outstanding academic performance (
GPA ≥ 3.5/4.0
).
(Majors: Computer Science, Statistics, Mathematics, Data Science, Financial engineering)
Technical Skills:
• Solid understanding of machine learning and statistical algorithms
• Proficient in Python and SQL
• Familiarity with model evaluation, feature engineering, and data visualization
Mindset: Analytical thinker, proactive problem-solver, and collaborative team playerPreferred Qualifications
• Internship or work experience in data science or analytics roles
• Exposure to financial services, fintech, or credit scoring projects
• Experience with cloud platforms (e.g., GCP, AWS) is a plus
If you’re ready to accelerate your career, work with global experts, and create real impact for banks and fintechs across Southeast Asia and Africa,
apply now and be part of our journey.",2025-11-24T11:37:42.463859
